appeal_agency,exempt,id,jurisdiction,name,parent,requires_proxy,slug,status,types
,False,11004,174,"Superior Court of California, County of Alameda",,False,alameda-county-superior-court,approved,[]
,False,10575,4665,Junction City Police Department,,False,junction-city-police-department,approved,[]
,False,548,155,Middle Tennessee State University,,True,middle-tennessee-state-university,approved,School
,False,15222,302,South Carolina State University,,True,south-carolina-state-university,approved,[]
,False,23477,103,State Attorney's Office,,False,state-attorneys-office,approved,[]
,False,7550,166,Office of Neighborhood Involvment - Noise Control Program,,False,noise-control-office,approved,[]
,False,23476,19830,Benton County Sheriff,,False,benton-county-sheriff,approved,[]
,False,11141,25142,Clermont County Information Systems Department,,False,clermont-county-information-systems-department,approved,[]
,False,3551,302,Department of Health and Environmental Control,,False,department-of-health-and-environmental-control,approved,Health
,False,3079,128,University of Virginia,,True,university-of-virginia,approved,College or University
,False,10019,156,"Department of Health, Maternal and Child Health division",,False,department-of-health,approved,[]
,False,23482,286,Planning & Services,,False,planning-services,approved,[]
,False,2665,10,"Army, Office of the Chief Information Officer",,False,army-office-chief-information-officer,approved,Military
,False,18644,358,Office Of Inspector General,,False,office-of-inspector-general,approved,[]
,False,23483,18045,Building Services,,False,building-services,approved,[]
,False,23484,16951,Neighborhood & Economic Operations,,False,neighborhood-economic-operations,approved,[]
,False,23498,9629,Nevada County Public Health Department,,False,nevada-county-public-health-department,approved,[]
,False,23475,25292,Fairfield Police Department,,False,fairfield-police-department,approved,[]
,False,23506,808,Midfield City Clerk,,True,city-of-midfield,approved,[]
,False,23564,27281,Fayette County Juvenile Probation,,False,fayette-county-juvenile-probation,approved,[]
,False,21045,248,Oklahoma State Department Of Health,,False,oklahoma-state-department-of-health,approved,[]
,False,776,383,Hennepin County Sheriff,,False,hennepin-county-sheriff,approved,Police
,False,4834,141,Public Utilities Commission,,False,public-utilities-commission,approved,[]
,False,11493,8832,Shelby County Sheriff,,True,shelby-county-sheriff,approved,[]
,False,23480,118,Ypsilanti Building Department,,False,ypsilanti-building-department,approved,[]
,False,23489,2888,Jacksonville Police Department,,False,jacksonville-police-department,approved,[]
,False,12142,3374,Pittsburg Police Department,,False,pittsburg-police-department,approved,[]
,False,23494,246,The Iowa State Bar Association,,False,the-iowa-state-bar-association,approved,[]
,False,5560,17,New York County District Attorney - Special Prosecutions,,False,new-york-county-district-attorney-special-prosecutions,approved,[]
,False,23637,211,The Office Of Innovation And Technology,,False,the-office-of-innovation-and-technology,approved,[]
,False,23687,16370,St. Tammany Parish Sheriff's Office,,False,st-tammany-parish-sheriffs-office,approved,[]
,False,6197,1,Massachusetts Office of Information Technology,,False,massachusetts-office-of-information-technology,approved,[]
,False,23563,4312,Louisburg Public Safety,,False,louisburg-public-safe,approved,[]
,False,17177,15740,Lexington-Fayette City Clerk,,False,city-clerk,approved,[]
,False,23673,244,Clackamas County Courts,,False,clackamas-county-courts,approved,[]
,False,23638,130,Innovation And Performance,,False,innovation-and-performance,approved,[]
,False,23651,570,Marblehead Police Department,,False,marblehead-police-department,approved,[]
,False,23642,286,"Trash, Recycling & Compost",,False,trash-recycling-compost,approved,[]
,False,23670,229,Essex County,,False,essex-county,approved,[]
,False,20414,19496,Monroe County Sheriff's Department,,False,monroe-county-sheriffs-department,approved,[]
,False,23672,27049,Choctaw Police Department,,False,choctaw-police-department,approved,[]
,False,22286,17,Manhattan Community Board 10,,False,manhattan-community-board-10,approved,[]
,False,9336,3223,Fullerton Police Department,,False,fullerton-police-department,approved,[]
,False,23682,2249,Horry County Fire Rescue,,False,horry-county-fire-rescue,approved,[]
,False,714,1,"Department of Public Health, Division of Health Care Quality",,False,department-of-public-health,approved,Health
,False,23490,13250,Monroe County Sheriff's Office,,False,monroe-county-sheriffs-office,approved,[]
,False,23500,3055,Nevada County Public Health Department,,False,nevada-county-public-health-department,approved,[]
,False,3856,34,"Highway Safety and Motor Vehicles, Division of Motorist Services",,False,highway-safety-and-motor-vehicles-division-motorist-services,approved,Transportation
,False,3601,10,"Department of Homeland Security, Office of Operations Coordination and Planning",,False,department-of-homeland-security-office-of-operations,approved,Homeland Security
,False,6231,34,Florida Federal Judicial Nominating Commission,,False,florida-federal-judicial-nominating-commission,approved,[]
,False,31075,55,San Diego County Office of Audits and Advisory Services,,False,san-diego-county-auditor-and-controller,approved,[]
,False,3603,16,"Division of Financial Services, Insurance",,False,division-financial-services-insurance,approved,Finance
,False,6126,303,Department of Environment and Natural Resources,,False,department-of-environment-and-natural-resources,approved,[]
,False,23592,3,Public Safety Department,,False,public-safety-department,approved,[]
,False,23574,139,Transportation Department,,False,transportation-department,approved,[]
,False,23639,130,Mobility And Infrastructure,,False,mobility-and-infrastructure,approved,[]
,False,14659,141,Office of Economic and Workforce Development,,False,office-economic-and-workforce-development,approved,[]
,False,23698,15590,Mckee Kentucky Sheriff's Department,,False,mckee-kentucky-sheriffs-department,approved,[]
,False,23644,324,Public Works Department,,False,public-works-department,approved,[]
,False,5541,35,Collier County Clerk of the Circuit Court - Community Outreach,,False,collier-county-court-community-outreach-clerk,approved,[]
,False,5510,358,Los Angeles County Registrar-Recorder/County Clerk,,False,los-angeles-county-registrar-recordercounty-clerk,approved,[]
,False,5345,337,St. Louis Metropolitan Taxicab Commission,,False,st-louis-metropolitan-taxicab-commission,approved,[]
,False,23688,1106,Apple Valley Police Department,,False,apple-valley-police-department,approved,[]
,False,23567,10,Fbi - Washington,,False,fbi-washington,approved,[]
,False,43085,4245,Police Department,,False,police-department,approved,[]
,False,6153,27295,Luzerne County District Attorney's Office,,False,luzerne-county-district-attorneys-office,approved,[]
,False,9879,114,Office of Senator John Cooper,,False,office-senator-john-cooper,approved,[]
,False,23604,302,Oconee County Sherriffs Department Walhalla SC 29691,,False,oconee-county-sherriffs-department-walhalla-sc-29691,approved,Police
,False,37289,11156,Village Of Volo,,False,village-of-volo,approved,[]
,False,23671,128,Town of Farmville,,True,farmville,approved,[]
,False,23690,2985,"Sherman Police Department, Sherman Tx",,False,sherman-police-department-sherman-tx,approved,[]
,False,5539,288,Erie County Department of Social Services,,False,department-of-social-services,approved,[]
,False,23509,116,Ohio Turnpike And Infrastructure Commission,,False,ohio-turnpike-and-infrastructure-commission,approved,[]
,False,5555,397,Sacramento County District Attorney's Office,,False,sacramento-county-district-attorneys-office,approved,[]
,False,23645,190,Information And Technology Services,,False,information-and-technology-services,approved,[]
,False,23569,210,Public Works Department,,False,public-works-department,approved,[]
,False,23593,314,Department Of Innovation And Technology,,False,department-of-innovation-and-technology,approved,[]
,False,23603,17,Human Resources Administration Department Of Social Services City Of New York,,False,human-resources-administration-department-of-social-services-city-of-new-york,approved,[]
,False,23723,27270,Chester County District Attorney,,False,chester-county-district-attorney,approved,[]
,False,5583,127,Colorado State Patrol - 1033 and 1122 Program,,False,colorado-state-patrol-1033-and-1122-program,approved,[]
,False,23640,163,Information Technology Services (its) Department,,True,information-technology-services-its-department,approved,[]
,False,23681,2993,Stafford Police Department,,False,stafford-police-department,approved,[]
,False,23751,107,Fire Department,,False,fire-department,approved,[]
,False,5567,126,Department of Community & Economic Development,,False,department-of-community-economic-development,approved,[]
,False,23662,30595,Franklin Police Department,,True,franklin-police-department,approved,[]
,False,9775,207,City Clerk's Office - Vital Records Department,,False,city-clerks-office-vital-records-department,approved,[]
,False,5569,303,Governor's Office of Economic Development,,False,governors-office-of-economic-development,approved,[]
,False,6162,7336,District Attorney's Office,,False,district-attorneys-office,approved,[]
,False,23713,8275,Grays Harbor Communications,,False,grays-harbor-communications,approved,[]
,False,23714,336,San Jose State University,,False,san-jose-state-university,approved,[]
,False,23715,128,Lexington City Manager,,False,lexington-city-manager,approved,[]
,False,6154,306,Allegheny County District Attorney's Office,,False,allegheny-county-district-attorneys-office,approved,[]
,False,10699,128,James Madison University,,True,james-madison-university,approved,[]
,False,14469,10686,Owyhee County Sheriff's Office,,False,owyhee-county-sheriffs-office,approved,[]
,False,5546,34,Florida Department of Law Enforcement - Expunge Section,,False,florida-department-of-law-enforcement-expunge-section,approved,[]
,False,4921,52,Health and Human Services Agency - California,,False,health-and-human-services-agency-california,approved,Health
,False,23572,315,Baltimore City Information & Technology,,False,baltimore-city-information-technology,approved,[]
,False,38583,27548,Butler County Department Of Emergency Services,,False,butler-county-department-of-emergency-services,approved,[]
,False,7091,30436,"City of Knoxville, Mayor's Office",,True,city-knoxville-mayors-office,approved,[]
,False,23641,286,Water Services,,False,water-services,approved,[]
,False,6178,297,Suffolk County District Attorney's Office,,False,suffolk-county-district-attorneys-office,approved,[]
,False,23594,314,Detroit Department Of Transportation,,False,detroit-department-of-transportation,approved,[]
,False,38579,27548,Butler Township Police Department,,False,butler-township-police-department,approved,[]
,False,6202,5405,Savannah-Chatham Metropolitan Police Department,,False,savannah-chatham-metropolitan-police-department,approved,[]
,False,23576,139,Public Works Department,,False,public-works-department,approved,[]
,False,23734,3368,Pasadena Public Health Department,,False,pasadena-public-health-department,approved,[]
,False,6232,12300,White County Clerk's Office,,False,white-county-clerks-office,approved,[]
,False,6214,7138,Purchasing Division,,False,purchasing-division,approved,[]
,False,23749,336,Santa Clara Valley Transportation Authority,,False,santa-clara-valley-transportation-authority,approved,[]
,False,23701,7011,Psychiatric Emergency Screening Service (p.e.s.s.) At Monmouth Medical Center,,False,psychiatric-emergency-screening-service-pess-at-monmouth-medical-center,approved,[]
,False,31092,139,Texas Commision Of Law Enforcement,,False,texas-commision-of-law-enforcement,approved,[]
,False,42246,1,Division of Occupational Licensure & Office of Public Safety and Inspections,,False,dplraostatemaus,approved,[]
,False,31086,10,Air Academy School District 20,,False,air-academy-school-district-20,approved,[]
,False,9776,720,City Clerk's Office - Vital Records Department,,False,city-clerks-office-vital-records-department,approved,[]
,False,42592,32370,City of Williamstown City Clerk/Treasurer,,False,city-of-williamstown-city-clerktreasurer,approved,[]
,False,62,10,Department of Transportation,,False,department-of-transportation,approved,[]
,False,23646,190,Public Works Department,,False,public-works-department,approved,[]
,False,3951,153,North Carolina Wildlife Resources Commission,,False,north-carolina-wildlife-resources-commission,approved,[]
,False,37440,8022,Lyons Township Area Communication Center In La Grange Park,,False,lyons-township-area-communication-center-in-la-grange-park,approved,[]
,False,38584,8807,Thorp Wi,,False,thorp-wi,approved,[]
,False,23718,529,Greenfield School Department,,False,greenfield-public-schools,approved,[]
,False,23595,331,Public Works,,False,public-works,approved,[]
7062,False,121,10,National Oceanic and Atmospheric Administration,,False,national-oceanic-and-atmospheric-administration,approved,[]
