abbrev,id,level,name,parent,slug
MA,1,s,Massachusetts,10,massachusetts
,2,l,Amherst,1,amherst
,3,l,Boston,1,boston
,4,l,Brookline,1,brookline
,5,l,Cambridge,1,cambridge
,6,l,Groton,1,groton
,7,l,Milford,1,milford
,8,l,Somerville,1,somerville
,9,l,Worcester,1,worcester
USA,10,f,United States of America,,united-states-of-america
,11,l,Suffolk County,1,suffolk-county
,12,l,Worcester County,1,worcester-county
ME,13,s,Maine,10,maine
,14,l,Essex County,1,essex-county
,15,l,Saugus,1,saugus
NY,16,s,New York,10,new-york
,17,l,New York City,16,new-york-city
,18,l,Newton,1,newton
,19,l,Barnstable County,1,barnstable-county
,20,l,Kingston,16,kingston
,21,l,Woodstock,16,woodstock
,22,l,Shandaken,16,shandaken
,23,l,Olive,16,olive
,24,l,Ulster County,16,ulster-county
,25,l,Delhi,16,delhi
,26,l,Middletown,16,middletown
,27,l,Sidney,16,sidney
,28,l,Delaware County,16,delaware-county
,29,l,Sullivan County,16,sullivan-county
,30,l,Schoharie County,16,schoharie-county
,31,l,Greene County,16,greene-county
,32,l,Ithaca,16,ithaca
,33,l,Tompkins County,16,tompkins-county
FL,34,s,Florida,10,florida
,35,l,Collier County,34,collier-county
,36,l,Lee County,34,lee-county
,37,l,Naples,34,naples
,38,l,Fort Myers,34,fort-myers
,39,l,Bonita Springs,34,bonita-springs
,40,l,Marco Island,34,marco-island
,41,l,Immokalee,34,immokalee
,42,l,Cape Coral,34,cape-coral
,43,l,Sanibel,34,sanibel
,44,l,Captiva,34,captiva
,45,l,Watertown,1,watertown
DC,47,s,District of Columbia,10,district-of-columbia
,48,l,Washington,47,washington
,51,l,Milton,1,milton
CA,52,s,California,10,california
CT,53,s,Connecticut,10,connecticut
WA,54,s,Washington,10,washington
,55,l,San Diego County,52,san-diego-county
,56,l,San Diego,52,san-diego
,57,l,El Cajon,52,el-cajon
,58,l,Chula Vista,52,chula-vista
,59,l,Escondido,52,escondido
,60,l,Carlsbad,52,carlsbad
,61,l,Oceanside,52,oceanside
,62,l,La Mesa,52,la-mesa
,63,l,Vista,52,vista
,64,l,Poway,52,poway
,65,l,Santee,52,santee
,66,l,Alpine,52,alpine
,67,l,Kent,54,kent
,68,l,Olympia,54,olympia
,69,l,Seattle,54,seattle
,70,l,Shoreline,54,shoreline
,71,l,Spokane,54,spokane
,72,l,Tacoma,54,tacoma
,73,l,King County,54,king-county
,74,l,Pierce County,54,pierce-county
,75,l,Snohomish County,54,snohomish-county
,76,l,Spokane County,54,spokane-county
,77,l,Dedham,1,dedham
AZ,78,s,Arizona,10,arizona
,79,l,Piedmont,52,piedmont
VT,80,s,Vermont,10,vermont
NH,81,s,New Hampshire,10,new-hampshire
RI,82,s,Rhode Island,10,rhode-island
,83,l,Sterling,1,sterling
,84,l,Wellesley,1,wellesley
,85,l,Belmont,1,belmont
