abbrev,id,level,name,parent,slug,parent_abbrev
MA,1,s,Massachusetts,10.0,massachusetts,
,2,l,Amherst,1.0,amherst,USA
,3,l,Boston,1.0,boston,MA
,4,l,Brookline,1.0,brookline,MA
,5,l,Cambridge,1.0,cambridge,MA
,6,l,Groton,1.0,groton,MA
,7,l,Milford,1.0,milford,MA
,8,l,Somerville,1.0,somerville,MA
,9,l,Worcester,1.0,worcester,MA
USA,10,f,United States of America,,united-states-of-america,MA
,11,l,Suffolk County,1.0,suffolk-county,
,12,l,Worcester County,1.0,worcester-county,MA
ME,13,s,Maine,10.0,maine,MA
,14,l,Essex County,1.0,essex-county,USA
,15,l,Saugus,1.0,saugus,MA
NY,16,s,New York,10.0,new-york,MA
,17,l,New York City,16.0,new-york-city,USA
,18,l,Newton,1.0,newton,NY
,19,l,Barnstable County,1.0,barnstable-county,MA
,20,l,Kingston,16.0,kingston,MA
,21,l,Woodstock,16.0,woodstock,NY
,22,l,Shandaken,16.0,shandaken,NY
,23,l,Olive,16.0,olive,NY
,24,l,Ulster County,16.0,ulster-county,NY
,25,l,Delhi,16.0,delhi,NY
,26,l,Middletown,16.0,middletown,NY
,27,l,Sidney,16.0,sidney,NY
,28,l,Delaware County,16.0,delaware-county,NY
,29,l,Sullivan County,16.0,sullivan-county,NY
,30,l,Schoharie County,16.0,schoharie-county,NY
,31,l,Greene County,16.0,greene-county,NY
,32,l,Ithaca,16.0,ithaca,NY
,33,l,Tompkins County,16.0,tompkins-county,NY
FL,34,s,Florida,10.0,florida,NY
,35,l,Collier County,34.0,collier-county,USA
,36,l,Lee County,34.0,lee-county,FL
,37,l,Naples,34.0,naples,FL
,38,l,Fort Myers,34.0,fort-myers,FL
,39,l,Bonita Springs,34.0,bonita-springs,FL
,40,l,Marco Island,34.0,marco-island,FL
,41,l,Immokalee,34.0,immokalee,FL
,42,l,Cape Coral,34.0,cape-coral,FL
,43,l,Sanibel,34.0,sanibel,FL
,44,l,Captiva,34.0,captiva,FL
,45,l,Watertown,1.0,watertown,FL
DC,47,s,District of Columbia,10.0,district-of-columbia,MA
,48,l,Washington,47.0,washington,
,51,l,Milton,1.0,milton,USA
CA,52,s,California,10.0,california,DC
CT,53,s,Connecticut,10.0,connecticut,
WA,54,s,Washington,10.0,washington,
,55,l,San Diego County,52.0,san-diego-county,MA
,56,l,San Diego,52.0,san-diego,USA
,57,l,El Cajon,52.0,el-cajon,USA
,58,l,Chula Vista,52.0,chula-vista,USA
,59,l,Escondido,52.0,escondido,CA
,60,l,Carlsbad,52.0,carlsbad,CA
,61,l,Oceanside,52.0,oceanside,CA
,62,l,La Mesa,52.0,la-mesa,CA
,63,l,Vista,52.0,vista,CA
,64,l,Poway,52.0,poway,CA
,65,l,Santee,52.0,santee,CA
,66,l,Alpine,52.0,alpine,CA
